airport,departure,duration,aircraft,Mon,Tue,Wed,Thu,Fri,Sat,Sun
IST,4.666666667,7.166666667,737,1,1,,1,,1,
FRA,11,9.166666667,330,,1,,1,,1,1
DXB,23.16666667,5.583333333,737,1,1,,1,,1,
